,School ID,school_name,type,size,budget,Student ID,student_name,gender,grade,reading_score,math_score
0,0,Huang High School,District,2917,1910635,0,Paul Bradley,M,9th,66,79
1,0,Huang High School,District,2917,1910635,1,Victor Smith,M,12th,94,61
2,0,Huang High School,District,2917,1910635,2,Kevin Rodriguez,M,12th,90,60
3,0,Huang High School,District,2917,1910635,3,Dr. Richard Scott,M,12th,67,58
4,0,Huang High School,District,2917,1910635,4,Bonnie Ray,F,9th,97,84
5,0,Huang High School,District,2917,1910635,5,Bryan Miranda,M,9th,94,94
6,0,Huang High School,District,2917,1910635,6,Sheena Carter,F,11th,82,80
7,0,Huang High School,District,2917,1910635,7,Nicole Baker,F,12th,96,69
8,0,Huang High School,District,2917,1910635,8,Michael Roth,M,10th,95,87
9,0,Huang High School,District,2917,1910635,9,Matthew Greene,M,10th,96,84
10,0,Huang High School,District,2917,1910635,10,Andrew Alexander,M,10th,90,70
11,0,Huang High School,District,2917,1910635,11,Daniel Cooper,M,10th,78,77
12,0,Huang High School,District,2917,1910635,12,Brittney Walker,F,9th,64,79
13,0,Huang High School,District,2917,1910635,13,William Long,M,9th,71,79
14,0,Huang High School,District,2917,1910635,14,Tammy Hebert,F,10th,85,67
15,0,Huang High School,District,2917,1910635,15,Dr. Jordan Carson,M,11th,94,88
16,0,Huang High School,District,2917,1910635,16,Donald Zamora,M,9th,88,55
17,0,Huang High School,District,2917,1910635,17,Kimberly Santiago,F,9th,74,75
18,0,Huang High School,District,2917,1910635,18,Kevin Stevens,M,9th,64,69
19,0,Huang High School,District,2917,1910635,19,Brandi Lyons,F,9th,89,80
20,0,Huang High School,District,2917,1910635,20,Lisa Davis,F,10th,91,89
21,0,Huang High School,District,2917,1910635,21,Kristen Lopez,F,10th,90,77
22,0,Huang High School,District,2917,1910635,22,Kimberly Stewart,F,11th,99,84
23,0,Huang High School,District,2917,1910635,23,Christopher Parker,M,9th,81,68
24,0,Huang High School,District,2917,1910635,24,Chelsea Griffith,F,11th,85,73
25,0,Huang High School,District,2917,1910635,25,Cesar Morris,M,9th,92,70
26,0,Huang High School,District,2917,1910635,26,Melanie Decker,F,9th,63,85
27,0,Huang High School,District,2917,1910635,27,Tracey Oconnor,F,10th,80,58
28,0,Huang High School,District,2917,1910635,28,Kelly James,F,11th,73,55
29,0,Huang High School,District,2917,1910635,29,Nicole Brown,F,12th,90,88
30,0,Huang High School,District,2917,1910635,30,Bobby Harris,M,9th,94,99
31,0,Huang High School,District,2917,1910635,31,Brian Fernandez,M,10th,97,65
32,0,Huang High School,District,2917,1910635,32,Candace Phelps,F,11th,93,90
33,0,Huang High School,District,2917,1910635,33,Amy Gonzalez,F,12th,95,68
34,0,Huang High School,District,2917,1910635,34,Steven Green,M,11th,65,74
35,0,Huang High School,District,2917,1910635,35,Benjamin Carlson,M,10th,99,61
36,0,Huang High School,District,2917,1910635,36,Kevin Bailey,M,10th,76,76
37,0,Huang High School,District,2917,1910635,37,Jesse Newton,M,10th,63,66
38,0,Huang High School,District,2917,1910635,38,Kimberly Mercado,F,12th,73,77
39,0,Huang High School,District,2917,1910635,39,Gregory Roberts,M,9th,80,61
40,0,Huang High School,District,2917,1910635,40,Matthew Mayer,M,9th,79,69
41,0,Huang High School,District,2917,1910635,41,Jennifer Parks,F,11th,85,95
42,0,Huang High School,District,2917,1910635,42,John Carlson,M,9th,65,89
43,0,Huang High School,District,2917,1910635,43,Megan Roberts,F,9th,66,90
44,0,Huang High School,District,2917,1910635,44,Debra Flores,F,10th,75,66
45,0,Huang High School,District,2917,1910635,45,Heidi Jackson,F,11th,64,93
46,0,Huang High School,District,2917,1910635,46,Denise Bradford,F,12th,73,59
